nitrogen:oxygen 0.8:0.2

Mobility *N (1/m/V/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.519999999999999962e-01 0.000000000000000000e+00
1.874000000000000110e-01 0.000000000000000000e+00
2.310000000000000109e-01 0.000000000000000000e+00
2.847999999999999976e-01 0.000000000000000000e+00
3.511000000000000232e-01 0.000000000000000000e+00
4.329000000000000070e-01 0.000000000000000000e+00
5.336999999999999522e-01 0.000000000000000000e+00
6.579000000000000403e-01 0.000000000000000000e+00
8.111000000000000432e-01 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
1.233000000000000096e+00 0.000000000000000000e+00
1.520000000000000018e+00 0.000000000000000000e+00
1.874000000000000110e+00 0.000000000000000000e+00
2.310000000000000053e+00 0.000000000000000000e+00
2.847999999999999865e+00 0.000000000000000000e+00
3.511000000000000121e+00 0.000000000000000000e+00
4.328999999999999737e+00 0.000000000000000000e+00
5.336999999999999744e+00 0.000000000000000000e+00
6.578999999999999737e+00 0.000000000000000000e+00
8.111000000000000654e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00
1.233000000000000007e+01 0.000000000000000000e+00
1.519999999999999929e+01 0.000000000000000000e+00
1.873999999999999844e+01 0.000000000000000000e+00
2.310000000000000142e+01 2.352999999999999886e-32
2.848000000000000043e+01 8.455999999999999472e-30
3.510999999999999943e+01 3.300000000000000163e-28
4.328999999999999915e+01 6.693000000000000507e-27
5.336999999999999744e+01 8.131000000000000396e-26
6.579000000000000625e+01 6.583999999999999725e-25
8.110999999999999943e+01 3.812999999999999673e-24
1.000000000000000000e+02 1.658999999999999968e-23
1.232999999999999972e+02 5.662999999999999651e-23
1.520000000000000000e+02 1.584999999999999928e-22
1.874000000000000057e+02 3.785999999999999816e-22
2.310000000000000000e+02 7.982000000000000190e-22
2.848000000000000114e+02 1.520000000000000093e-21
3.511000000000000227e+02 2.655999999999999956e-21
4.328999999999999773e+02 4.316000000000000070e-21
5.337000000000000455e+02 6.579000000000000355e-21
6.578999999999999773e+02 9.488999999999999460e-21
8.111000000000000227e+02 1.303999999999999926e-20
1.000000000000000000e+03 1.719000000000000011e-20
