nitrogen:oxygen:methane 0.4:0.1:0.5

Mobility *N (1/m/V/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.519999999999999962e-01 0.000000000000000000e+00
1.874000000000000110e-01 0.000000000000000000e+00
2.310000000000000109e-01 0.000000000000000000e+00
2.847999999999999976e-01 0.000000000000000000e+00
3.511000000000000232e-01 0.000000000000000000e+00
4.329000000000000070e-01 0.000000000000000000e+00
5.336999999999999522e-01 0.000000000000000000e+00
6.579000000000000403e-01 0.000000000000000000e+00
8.111000000000000432e-01 0.000000000000000000e+00
1.000000000000000000e+00 0.000000000000000000e+00
1.233000000000000096e+00 0.000000000000000000e+00
1.520000000000000018e+00 0.000000000000000000e+00
1.874000000000000110e+00 0.000000000000000000e+00
2.310000000000000053e+00 0.000000000000000000e+00
2.847999999999999865e+00 0.000000000000000000e+00
3.511000000000000121e+00 0.000000000000000000e+00
4.328999999999999737e+00 0.000000000000000000e+00
5.336999999999999744e+00 0.000000000000000000e+00
6.578999999999999737e+00 0.000000000000000000e+00
8.111000000000000654e+00 0.000000000000000000e+00
1.000000000000000000e+01 0.000000000000000000e+00
1.233000000000000007e+01 0.000000000000000000e+00
1.519999999999999929e+01 0.000000000000000000e+00
1.873999999999999844e+01 0.000000000000000000e+00
2.310000000000000142e+01 5.677000000000000262e-34
2.848000000000000043e+01 2.781000000000000050e-30
3.510999999999999943e+01 3.418999999999999977e-28
4.328999999999999915e+01 1.354000000000000012e-26
5.336999999999999744e+01 2.264000000000000018e-25
6.579000000000000625e+01 1.989999999999999876e-24
8.110999999999999943e+01 1.093000000000000028e-23
1.000000000000000000e+02 4.259999999999999840e-23
1.232999999999999972e+02 1.290000000000000065e-22
1.520000000000000000e+02 3.240000000000000054e-22
1.874000000000000057e+02 7.046000000000000195e-22
2.310000000000000000e+02 1.370000000000000003e-21
2.848000000000000114e+02 2.432000000000000073e-21
3.511000000000000227e+02 4.007000000000000073e-21
4.328999999999999773e+02 6.195000000000000126e-21
5.337000000000000455e+02 9.066000000000000524e-21
6.578999999999999773e+02 1.265000000000000016e-20
8.111000000000000227e+02 1.690000000000000131e-20
1.000000000000000000e+03 2.174999999999999982e-20
